source,title,summary,link,compound,sentiment
Google News,Opinion | The Achingly Simple Lesson That Democrats Seem Determined Not to Learn - The New York Times,"<a href=""https://news.google.com/rss/articles/CBMiggFBVV95cUxNYThpUEpOZERaajJuRV9yWHN0cEFQcTgzd284TWFtZWx4VUotazQ4dmxxdHl3dFVEVXBtQ3NZTC1zUnRiOXJ0d00wdDE5ODM5MWR0VmxDOExpZWQ3STRsX3p6NWJzeWZqTzBXX05vRk5ranpNNFk0dm5TaVdJRENueW9B?oc=5"" target=""_blank"">Opinion | The Achingly Simple Lesson That Democrats Seem Determined Not to Learn</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",https://news.google.com/rss/articles/CBMiggFBVV95cUxNYThpUEpOZERaajJuRV9yWHN0cEFQcTgzd284TWFtZWx4VUotazQ4dmxxdHl3dFVEVXBtQ3NZTC1zUnRiOXJ0d00wdDE5ODM5MWR0VmxDOExpZWQ3STRsX3p6NWJzeWZqTzBXX05vRk5ranpNNFk0dm5TaVdJRENueW9B?oc=5,0.34,Positive
Google News,The Moviemakers Breaking With Liberal Hollywood - Politico,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxQMnRCTFdjQjF5T3FYcmFFbkpPd3lyQWdJbWFTYUpjMUJnMENvWUx0Ulp2azZHY1Iwb2dIakJOUFVUY2d1eC1FVTlCOTVVckUtQ09MSWRnc3dtazJEMXVXNGlEcF92b1ZrNF84NWNRN2pqZ1BaYU5QMFBjazZHX180Z2dmaVBTSzdiUnpnTkUzM0tqaDJUcXhCQ0hzMWNYekJtSmZBZGVIVHlNOGNM?oc=5"" target=""_blank"">The Moviemakers Breaking With Liberal Hollywood</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Politico</font>",https://news.google.com/rss/articles/CBMirAFBVV95cUxQMnRCTFdjQjF5T3FYcmFFbkpPd3lyQWdJbWFTYUpjMUJnMENvWUx0Ulp2azZHY1Iwb2dIakJOUFVUY2d1eC1FVTlCOTVVckUtQ09MSWRnc3dtazJEMXVXNGlEcF92b1ZrNF84NWNRN2pqZ1BaYU5QMFBjazZHX180Z2dmaVBTSzdiUnpnTkUzM0tqaDJUcXhCQ0hzMWNYekJtSmZBZGVIVHlNOGNM?oc=5,0.0,Neutral
Google News,Is there a “woke right” in America? - The Economist,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxONkV6NjlEYTFnZ0EwdExObjU0dmsyOTlhY3FTUXRrLVJOY2Q5LXZway1pRDBLMHZmOVotbEwyaEJLaWJQWTZacXRZcGZLQ3EteE1YTUhhMnBrYzR4ZHQxLTZuSEtqQjFfWmNjZTZIR0RaakZIc3FreEhVWXBTTzMwX1UzVTJseVVvQkNJ?oc=5"" target=""_blank"">Is there a “woke right” in America?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economist</font>",https://news.google.com/rss/articles/CBMiiwFBVV95cUxONkV6NjlEYTFnZ0EwdExObjU0dmsyOTlhY3FTUXRrLVJOY2Q5LXZway1pRDBLMHZmOVotbEwyaEJLaWJQWTZacXRZcGZLQ3EteE1YTUhhMnBrYzR4ZHQxLTZuSEtqQjFfWmNjZTZIR0RaakZIc3FreEhVWXBTTzMwX1UzVTJseVVvQkNJ?oc=5,0.0,Neutral
Google News,On GPS: Young women propel South Korea’s liberals to victory - CNN,"<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxOTUczU3JxZTFkSC1oazJVVURad1R3QmtvZlY1Tmx4cHVRQ01vY0VwQ2Z1TEdjdHBPWWF2QUg4RWpJQ3dUaXJwZHQ4aEZwNENEQVJtd3g2SGNGV1IyRTBpR0o4N0dlc01fZGlJMC15SzZlUmxqNU9hVUo3WV9OT2JuNUlESUM?oc=5"" target=""_blank"">On GPS: Young women propel South Korea’s liberals to victory</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",https://news.google.com/rss/articles/CBMihAFBVV95cUxOTUczU3JxZTFkSC1oazJVVURad1R3QmtvZlY1Tmx4cHVRQ01vY0VwQ2Z1TEdjdHBPWWF2QUg4RWpJQ3dUaXJwZHQ4aEZwNENEQVJtd3g2SGNGV1IyRTBpR0o4N0dlc01fZGlJMC15SzZlUmxqNU9hVUo3WV9OT2JuNUlESUM?oc=5,0.0,Neutral
Google News,Opinion | The Bluesky bubble hurts liberals and their causes - The Washington Post,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxOaXVfVkp1enBKXzVmX29vbE9HdnNoTFlpcFZWRXc3T0loakFPd3U4NGE3c2RqeS1lR09sRXNaWUZadnpOcEJCaElFWmduVWhmVktoeW1iSktMcFZnWl9URmFnekxzVzAwblFuTldsMktWeWRTNkhVWUZlRlJvcExXY3BLRQ?oc=5"" target=""_blank"">Opinion | The Bluesky bubble hurts liberals and their causes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font>",https://news.google.com/rss/articles/CBMigwFBVV95cUxOaXVfVkp1enBKXzVmX29vbE9HdnNoTFlpcFZWRXc3T0loakFPd3U4NGE3c2RqeS1lR09sRXNaWUZadnpOcEJCaElFWmduVWhmVktoeW1iSktMcFZnWl9URmFnekxzVzAwblFuTldsMktWeWRTNkhVWUZlRlJvcExXY3BLRQ?oc=5,-0.4767,Negative
Google News,Abortion: Europe’s not as liberal as you think - politico.eu,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxNdVZXME9oY1Q3TUQ1V1ZHbm8zVTFnT3FDZzFrNXJweW93SHZLVnEtaWFvZnpQcGttZDlWOTB0eUpXNTAycWVJbEwzZEV6czFlbkZCaXNpcE9FdVdQREVZYlI4R0F6LTVfN092Vk5MUGF2WmI1UEdpZjE2VUk0RWhKOXZJOHpPSEYtZmZlWUVLdFVmN0U?oc=5"" target=""_blank"">Abortion: Europe’s not as liberal as you think</a>&nbsp;&nbsp;<font color=""#6f6f6f"">politico.eu</font>",https://news.google.com/rss/articles/CBMikwFBVV95cUxNdVZXME9oY1Q3TUQ1V1ZHbm8zVTFnT3FDZzFrNXJweW93SHZLVnEtaWFvZnpQcGttZDlWOTB0eUpXNTAycWVJbEwzZEV6czFlbkZCaXNpcE9FdVdQREVZYlI4R0F6LTVfN092Vk5MUGF2WmI1UEdpZjE2VUk0RWhKOXZJOHpPSEYtZmZlWUVLdFVmN0U?oc=5,0.0,Neutral
Google News,Dan Haar: Why progressive Democrats will not derail a Gov. Lamont reelection despite anger - CT Insider,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxOcWFfQ3o3SVBvYS1ORTMxajdfMVZ6bkIwZU56WU16M2VHamZPSFdoaE9qX1VQbEdvSTB0VU1JaWZ1d0lfQXRlei1WcndPaUw4Ui1OUGZvS2FOM2x2X19VRWpRNTJPWE56NXNWRzhaQUdZWjh4WTNxZGtKYkI5WkJTLUhEZE05ZTJVN0NiSXdIR1ZueW5hOWhaVlBmal9oQQ?oc=5"" target=""_blank"">Dan Haar: Why progressive Democrats will not derail a Gov. Lamont reelection despite anger</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CT Insider</font>",https://news.google.com/rss/articles/CBMingFBVV95cUxOcWFfQ3o3SVBvYS1ORTMxajdfMVZ6bkIwZU56WU16M2VHamZPSFdoaE9qX1VQbEdvSTB0VU1JaWZ1d0lfQXRlei1WcndPaUw4Ui1OUGZvS2FOM2x2X19VRWpRNTJPWE56NXNWRzhaQUdZWjh4WTNxZGtKYkI5WkJTLUhEZE05ZTJVN0NiSXdIR1ZueW5hOWhaVlBmal9oQQ?oc=5,0.5975,Positive
Google News,Classical Liberalism Without Strong Gods - Quillette,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxNZFNwaTF6ZjRjTWY3S2JyTGE5bUlGS2QzWkdBMW9ackJ4bjYyNmxWLXRkWlRzVmtBV0ZqUlFlXzZTVVpqZWYzYzJTcGV3aUNGN0RKRm43eWhxN2lUUnZFaGFTZThWRU83a2pDdVp3dmV5Y2J1UGtxYnRNQjRWLWllVjF2QXJpSUh6aHNvbExNS3NpX3BwYm5hZTJn?oc=5"" target=""_blank"">Classical Liberalism Without Strong Gods</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Quillette</font>",https://news.google.com/rss/articles/CBMimgFBVV95cUxNZFNwaTF6ZjRjTWY3S2JyTGE5bUlGS2QzWkdBMW9ackJ4bjYyNmxWLXRkWlRzVmtBV0ZqUlFlXzZTVVpqZWYzYzJTcGV3aUNGN0RKRm43eWhxN2lUUnZFaGFTZThWRU83a2pDdVp3dmV5Y2J1UGtxYnRNQjRWLWllVjF2QXJpSUh6aHNvbExNS3NpX3BwYm5hZTJn?oc=5,-0.4023,Negative
Google News,Are Conservatives Overstating the Violence in LA or are Liberal Media Outlets Downplaying It? - AllSides,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNQjRseFZwNGViVlhFckZENEZqQXZBam5jT0tIanY2VFhuOVY5Q2tWRG5kYldlRS1yT0tWQ2VZYTVQUkNzSHdCQ2U3RlhTbWp0NHc2aC1yMjNPMFNaTTZhcmxsTXVhTnhYWDEwLXhDVmdTajUzdlVoaUhRQW5EYmN0V0pwMVZOcFhZdk5GQ3hnSlZvbTJrcHVwQzAyN0xuV1FZdEhXZ2tLLVp6dEU4SFdTVU1MbWNuSU5Va3NPdVUxZTBRUQ?oc=5"" target=""_blank"">Are Conservatives Overstating the Violence in LA or are Liberal Media Outlets Downplaying It?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AllSides</font>",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNQjRseFZwNGViVlhFckZENEZqQXZBam5jT0tIanY2VFhuOVY5Q2tWRG5kYldlRS1yT0tWQ2VZYTVQUkNzSHdCQ2U3RlhTbWp0NHc2aC1yMjNPMFNaTTZhcmxsTXVhTnhYWDEwLXhDVmdTajUzdlVoaUhRQW5EYmN0V0pwMVZOcFhZdk5GQ3hnSlZvbTJrcHVwQzAyN0xuV1FZdEhXZ2tLLVp6dEU4SFdTVU1MbWNuSU5Va3NPdVUxZTBRUQ?oc=5,-0.6249,Negative
Google News,The Election Was Exhausting. Are Liberals Finally Getting Back in the Game? - GQ,"<a href=""https://news.google.com/rss/articles/CBMiVkFVX3lxTE8tQ1czeHRXUUZlMmFhQTlKcmszQkxIOV9OdWR5U3FkYzVMVlByQlFkbzBRZWNURjFlOWN4LXd4OFV6Y2RLWUJIaW4zeGx3djFObVg5T1ZB?oc=5"" target=""_blank"">The Election Was Exhausting. Are Liberals Finally Getting Back in the Game?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GQ</font>",https://news.google.com/rss/articles/CBMiVkFVX3lxTE8tQ1czeHRXUUZlMmFhQTlKcmszQkxIOV9OdWR5U3FkYzVMVlByQlFkbzBRZWNURjFlOWN4LXd4OFV6Y2RLWUJIaW4zeGx3djFObVg5T1ZB?oc=5,-0.3612,Negative
